Protein.ID,Gene.name,LFQ.Control_04dpi_1,LFQ.Control_04dpi_2,LFQ.Control_04dpi_3,LFQ.Control_04dpi_4,LFQ.Control_04dpi_5,LFQ.Control_07dpi_1,LFQ.Control_07dpi_2,LFQ.Control_07dpi_3,LFQ.Control_07dpi_4,LFQ.Control_07dpi_5,LFQ.Control_12dpi_1,LFQ.Control_12dpi_2,LFQ.Control_12dpi_3,LFQ.Control_12dpi_4,LFQ.Control_12dpi_5,LFQ.F13_Mut_04dpi_1,LFQ.F13_Mut_04dpi_2,LFQ.F13_Mut_04dpi_3,LFQ.F13_Mut_04dpi_4,LFQ.F13_Mut_04dpi_5,LFQ.F13_Mut_07dpi_2,LFQ.F13_Mut_07dpi_3,LFQ.F13_Mut_07dpi_4,LFQ.F13_Mut_07dpi_5,LFQ.F13_Mut_12dpi_1,LFQ.F13_Mut_12dpi_2,LFQ.F13_Mut_12dpi_3,LFQ.F13_Mut_12dpi_4,LFQ.F13_Mut_12dpi_5,LFQ.F13_WT_04dpi_1,LFQ.F13_WT_04dpi_2,LFQ.F13_WT_04dpi_3,LFQ.F13_WT_04dpi_4,LFQ.F13_WT_07dpi_1,LFQ.F13_WT_07dpi_2,LFQ.F13_WT_07dpi_3,LFQ.F13_WT_07dpi_4,LFQ.F13_WT_07dpi_5,LFQ.F13_WT_12dpi_1,LFQ.F13_WT_12dpi_2,LFQ.F13_WT_12dpi_3,LFQ.F13_WT_12dpi_4,LFQ.F13_WT_12dpi_5,LFQ.GHu_Mut_04dpi_1,LFQ.GHu_Mut_04dpi_2,LFQ.GHu_Mut_04dpi_3,LFQ.GHu_Mut_04dpi_4,LFQ.GHu_Mut_04dpi_5,LFQ.GHu_Mut_07dpi_1,LFQ.GHu_Mut_07dpi_2,LFQ.GHu_Mut_07dpi_3,LFQ.GHu_Mut_07dpi_4,LFQ.GHu_Mut_07dpi_5,LFQ.GHu_Mut_12dpi_1,LFQ.GHu_Mut_12dpi_2,LFQ.GHu_Mut_12dpi_3,LFQ.GHu_Mut_12dpi_4,LFQ.GHu_Mut_12dpi_5,LFQ.GHu_WT_04dpi_1,LFQ.GHu_WT_04dpi_2,LFQ.GHu_WT_04dpi_3,LFQ.GHu_WT_04dpi_4,LFQ.GHu_WT_04dpi_5,LFQ.GHu_WT_07dpi_1,LFQ.GHu_WT_07dpi_2,LFQ.GHu_WT_07dpi_3,LFQ.GHu_WT_07dpi_4,LFQ.GHu_WT_07dpi_5,LFQ.GHu_WT_12dpi_1,LFQ.GHu_WT_12dpi_2,LFQ.GHu_WT_12dpi_3,LFQ.GHu_WT_12dpi_4,LFQ.GHu_WT_12dpi_5
"    AT4G38970.1 **** fructose-bisphosphate aldolase 2 LENGTH=398 IPR000741 (Fructose-bisphosphate aldolase, class-I), IPR013785 (Aldolase-type TIM barrel), IPR029768 (Fructose-bisphosphate aldolase class-I active site) GO:0003824 (catalytic activity), GO:0004332 (fructose-bisphosphate aldolase activity), GO:0006096 (glycolytic process)",Niben101Scf13103g01029.1,64,60,66,60,53,51,61,51,48,60,56,73,53,60,47,48,62,52,67,46,52,64,55,46,61,57,57,63,54,59,63,50,45,75,61,62,49,47,57,53,55,56,72,64,63,46,65,54,54,50,64,49,58,58,57,68,56,45,69,56,51,59,62,54,63,58,37,63,55,56,54,39,52
"    AT4G38970.1 **** fructose-bisphosphate aldolase 2 LENGTH=398 IPR000741 (Fructose-bisphosphate aldolase, class-I), IPR013785 (Aldolase-type TIM barrel) GO:0003824 (catalytic activity), GO:0004332 (fructose-bisphosphate aldolase activity), GO:0006096 (glycolytic process)",Niben101Scf01025g01013.1,47,47,45,45,39,36,47,35,35,40,36,47,37,43,30,32,44,37,53,33,42,52,43,35,31,40,40,42,40,39,51,36,34,50,46,36,34,30,34,39,44,46,50,42,33,35,44,37,38,37,40,32,33,40,40,54,39,32,50,44,35,46,41,33,33,41,31,40,38,35,34,26,35
"    AT4G38970.1 **** fructose-bisphosphate aldolase 2 LENGTH=398 IPR000741 (Fructose-bisphosphate aldolase, class-I), IPR013785 (Aldolase-type TIM barrel) GO:0003824 (catalytic activity), GO:0004332 (fructose-bisphosphate aldolase activity), GO:0006096 (glycolytic process)",Niben101Scf01852g04029.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    AT2G21330.1 **** fructose-bisphosphate aldolase 1 LENGTH=399 IPR000741 (Fructose-bisphosphate aldolase, class-I), IPR013785 (Aldolase-type TIM barrel), IPR029768 (Fructose-bisphosphate aldolase class-I active site) GO:0003824 (catalytic activity), GO:0004332 (fructose-bisphosphate aldolase activity), GO:0006096 (glycolytic process)",Niben101Scf00466g00012.1,70,74,84,83,55,68,62,53,48,69,90,102,86,87,63,49,68,79,106,49,64,78,61,48,68,82,82,72,75,58,74,53,59,74,72,59,67,54,79,53,61,66,77,73,79,67,78,64,72,62,77,59,59,72,60,121,70,53,94,73,68,63,80,72,82,94,45,85,52,51,54,46,54
"Cluster of AT4G38970.1 **** fructose-bisphosphate aldolase 2 LENGTH=398 IPR000741 (Fructose-bisphosphate aldolase, class-I), IPR013785 (Aldolase-type TIM barrel), IPR029768 (Fructose-bisphosphate aldolase class-I active site) GO:0003824 (catalytic activity), GO:0004332 (fructose-bisphosphate aldolase activity), GO:0006096 (glycolytic process) (Niben101Scf01460g02001.1)",Niben101Scf01460g02001.1 [3],8,9,11,4,6,3,6,6,3,12,6,8,7,6,7,6,5,8,6,4,5,9,8,4,4,9,9,6,9,9,8,9,5,7,6,8,7,9,5,6,6,5,6,5,6,4,7,3,8,11,12,7,13,3,5,6,5,6,9,6,5,9,10,5,10,7,7,11,5,3,6,3,7
"    AT4G38970.1 *-** fructose-bisphosphate aldolase 2 LENGTH=398 IPR000741 (Fructose-bisphosphate aldolase, class-I), IPR013785 (Aldolase-type TIM barrel) GO:0003824 (catalytic activity), GO:0004332 (fructose-bisphosphate aldolase activity), GO:0006096 (glycolytic process)",Niben101Scf04832g02024.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    AT4G38970.1 **** fructose-bisphosphate aldolase 2 LENGTH=398 IPR000741 (Fructose-bisphosphate aldolase, class-I), IPR013785 (Aldolase-type TIM barrel), IPR029768 (Fructose-bisphosphate aldolase class-I active site) GO:0003824 (catalytic activity), GO:0004332 (fructose-bisphosphate aldolase activity), GO:0006096 (glycolytic process)",Niben101Scf01460g02001.1,8,9,11,4,6,3,6,6,3,12,6,8,7,6,7,6,5,8,6,4,5,9,8,4,4,9,9,6,9,9,8,9,5,7,6,8,7,9,5,6,6,5,6,5,6,4,7,3,8,11,12,7,13,3,5,6,5,6,9,6,5,9,10,5,10,7,7,11,5,3,6,3,7
"    AT4G38970.1 **** fructose-bisphosphate aldolase 2 LENGTH=398 IPR000741 (Fructose-bisphosphate aldolase, class-I), IPR013785 (Aldolase-type TIM barrel), IPR029768 (Fructose-bisphosphate aldolase class-I active site) GO:0003824 (catalytic activity), GO:0004332 (fructose-bisphosphate aldolase activity), GO:0006096 (glycolytic process)",Niben101Scf04024g00009.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster of AT4G38810.2 **** Calcium-binding EF-hand family protein LENGTH=375 IPR011992 (EF-hand domain pair) GO:0005509 (calcium ion binding) (Niben101Scf00135g00027.1),Niben101Scf00135g00027.1 [2],,,,,,,,,,1,,,,,,,,,0,,,1,,,,,,1,0,0,1,1,,0,,,,,,,0,0,,,,,,,,,1,2,1,,,0,,0,1,,,,,,,,,,,0,,,
    AT4G38810.2 **** Calcium-binding EF-hand family protein LENGTH=375 IPR011992 (EF-hand domain pair) GO:0005509 (calcium ion binding),Niben101Scf00135g00027.1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,0,,,,,,,,,1,2,1,,,0,,0,,,,,,,,,,,,0,,,
    AT4G38810.2 **** Calcium-binding EF-hand family protein LENGTH=375 IPR011992 (EF-hand domain pair) GO:0005509 (calcium ion binding),Niben101Scf07160g00010.1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,0,0,1,1,,,,,,,,,,,,,,,,,,,1,1,0,,,,,,1,,,,,,,,,,,,,,
"Cluster of AT4G37200.1 ***- Thioredoxin superfamily protein LENGTH=261 IPR005746 (Thioredoxin), IPR012336 (Thioredoxin-like fold) GO:0006662 (glycerol ether metabolic process), GO:0015035 (protein disulfide oxidoreductase activity), GO:0045454 (cell redox homeostasis) (Niben101Scf05692g07035.1)",Niben101Scf05692g07035.1 [2],,0,0,0,,,1,1,,1,1,1,1,0,0,,2,0,0,0,0,1,1,1,1,,,0,1,2,1,0,0,3,1,1,2,0,0,1,1,2,0,0,,,0,,0,1,1,0,0,1,0,1,1,,2,1,1,2,0,0,0,0,,1,1,0,1,0,0
"    AT4G37200.1 *-*- Thioredoxin superfamily protein LENGTH=261 IPR005746 (Thioredoxin), IPR012336 (Thioredoxin-like fold) GO:0006662 (glycerol ether metabolic process), GO:0015035 (protein disulfide oxidoreductase activity), GO:0045454 (cell redox homeostasis)",Niben101Scf11895g03016.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    AT4G37200.1 ***- Thioredoxin superfamily protein LENGTH=261 IPR005746 (Thioredoxin), IPR012336 (Thioredoxin-like fold) GO:0006662 (glycerol ether metabolic process), GO:0015035 (protein disulfide oxidoreductase activity), GO:0045454 (cell redox homeostasis)",Niben101Scf05692g07035.1,,0,0,0,,,1,1,,1,1,1,1,0,0,,2,0,0,0,0,1,1,1,1,,,0,1,2,1,0,0,3,1,1,2,0,0,1,1,2,0,0,,,0,,0,1,1,0,,1,0,1,1,,2,1,1,2,0,0,0,0,,1,1,0,1,0,0
"Cluster of AT4G35630.1 **** phosphoserine aminotransferase LENGTH=430 IPR015424 (Pyridoxal phosphate-dependent transferase), IPR022278 (Phosphoserine aminotransferase) GO:0003824 (catalytic activity), GO:0004648 (O-phospho-L-serine:2-oxoglutarate aminotransferase activity), GO:0006564 (L-serine biosynthetic process), GO:0008152 (metabolic process), GO:0030170 (pyridoxal phosphate binding) (Niben101Scf02041g01018.1)",Niben101Scf02041g01018.1 [2],6,6,8,3,5,5,10,5,4,5,5,4,7,7,7,4,3,6,5,6,4,6,7,5,8,8,8,9,10,4,10,9,8,4,5,7,5,4,6,7,4,5,5,5,11,5,8,6,9,12,11,7,8,6,5,4,4,2,5,7,5,7,6,5,4,6,6,5,7,5,6,7,9
"    AT4G35630.1 **** phosphoserine aminotransferase LENGTH=430 IPR015424 (Pyridoxal phosphate-dependent transferase), IPR022278 (Phosphoserine aminotransferase) GO:0003824 (catalytic activity), GO:0004648 (O-phospho-L-serine:2-oxoglutarate aminotransferase activity), GO:0006564 (L-serine biosynthetic process), GO:0008152 (metabolic process), GO:0030170 (pyridoxal phosphate binding)",Niben101Scf02041g01018.1,4,4,7,2,3,3,8,4,2,3,3,2,5,5,5,2,2,4,3,4,3,5,5,3,6,6,6,7,8,3,8,7,6,2,3,6,3,3,4,5,3,4,3,3,9,3,6,4,7,10,9,5,6,4,3,2,2,1,3,5,3,5,4,3,2,4,5,3,5,3,4,5,7
"    AT4G35630.1 **** phosphoserine aminotransferase LENGTH=430 IPR015424 (Pyridoxal phosphate-dependent transferase), IPR022278 (Phosphoserine aminotransferase) GO:0003824 (catalytic activity), GO:0004648 (O-phospho-L-serine:2-oxoglutarate aminotransferase activity), GO:0006564 (L-serine biosynthetic process), GO:0008152 (metabolic process), GO:0030170 (pyridoxal phosphate binding)",Niben101Scf06263g01001.1,3,4,5,2,3,3,7,4,4,5,4,3,6,4,4,3,2,4,3,4,3,5,5,4,5,7,7,6,6,2,5,6,4,2,4,5,4,4,4,5,2,4,3,3,7,4,6,4,6,8,7,4,5,5,4,4,2,1,3,6,4,6,5,3,2,5,3,4,4,5,4,6,5
"Cluster of AT4G34980.1 *-** subtilisin-like serine protease 2 LENGTH=764 IPR015500 (Peptidase S8, subtilisin-related) GO:0004252 (serine-type endopeptidase activity), GO:0006508 (proteolysis) (Niben101Scf03747g01016.1)",Niben101Scf03747g01016.1 [2],2,2,1,1,1,2,2,0,2,2,1,2,2,2,3,3,1,,2,2,1,2,1,0,2,0,0,2,2,2,2,1,3,1,2,3,2,2,1,2,2,1,2,2,0,1,2,1,2,2,2,2,0,,0,2,3,1,2,1,1,4,0,2,2,2,1,2,1,1,1,2,2
"    AT4G34980.1 *-** subtilisin-like serine protease 2 LENGTH=764 IPR015500 (Peptidase S8, subtilisin-related) GO:0004252 (serine-type endopeptidase activity), GO:0006508 (proteolysis)",Niben101Scf03747g01016.1,,,,,1,,2,0,,,,,2,,,3,1,,,,,,,,2,,,,1,,,,3,,2,3,2,2,,2,,,,,,1,2,,,,,,,,,,3,1,,,,4,,2,2,,1,,,,,,2
"    AT4G34980.1 *-** subtilisin-like serine protease 2 LENGTH=764 IPR015500 (Peptidase S8, subtilisin-related) GO:0004252 (serine-type endopeptidase activity), GO:0006508 (proteolysis)",Niben101Scf00803g01006.1,,,,,1,,1,,2,,,,2,2,,2,1,,,,,2,,,,,,2,1,,,1,,,2,2,2,,,2,2,,2,,,,1,,,,,,,,0,,2,1,2,,,2,,2,,,1,2,1,,,,1
"Cluster of AT4G34350.1 **** 4-hydroxy-3-methylbut-2-enyl diphosphate reductase LENGTH=466 IPR003451 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase) GO:0019288 (isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway), GO:0046872 (metal ion binding), GO:0050992 (dimethylallyl diphosphate biosynthetic process), GO:0051745 (4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity) (Niben101Scf33689g00006.1)",Niben101Scf33689g00006.1 [2],3,6,2,4,5,0,4,4,3,2,3,9,5,7,0,3,4,1,3,0,5,4,4,1,4,3,3,7,10,5,4,1,0,4,3,6,8,3,3,6,4,4,5,6,4,1,6,2,0,13,6,9,6,2,3,5,7,1,4,1,1,7,1,3,2,1,6,4,6,2,2,3,5
"    AT4G34350.1 **** 4-hydroxy-3-methylbut-2-enyl diphosphate reductase LENGTH=466 IPR003451 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase) GO:0019288 (isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway), GO:0046872 (metal ion binding), GO:0050992 (dimethylallyl diphosphate biosynthetic process), GO:0051745 (4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity)",Niben101Scf33689g00006.1,3,6,2,4,5,0,4,4,3,2,3,9,5,7,0,3,4,1,3,0,5,4,4,1,4,3,3,7,10,5,4,1,0,4,3,6,8,3,3,6,4,4,5,6,4,1,6,2,0,13,6,9,6,2,3,5,7,1,4,1,1,7,1,3,2,1,6,4,6,2,2,3,5
"    AT4G34350.1 **** 4-hydroxy-3-methylbut-2-enyl diphosphate reductase LENGTH=466 IPR003451 (4-hydroxy-3-methylbut-2-enyl diphosphate reductase) GO:0019288 (isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway), GO:0046872 (metal ion binding), GO:0050992 (dimethylallyl diphosphate biosynthetic process), GO:0051745 (4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity)",Niben101Scf10575g00008.1,3,6,2,4,5,0,4,4,3,2,3,9,5,7,0,3,4,1,3,,5,4,4,1,4,3,3,7,10,5,4,1,0,4,3,6,8,3,3,6,4,4,5,6,4,1,6,2,0,13,6,9,6,2,3,5,7,1,4,1,1,7,1,3,2,1,6,4,6,2,2,3,5
"Cluster of AT4G34200.1 **** D-3-phosphoglycerate dehydrogenase LENGTH=603 IPR006236 (D-3-phosphoglycerate dehydrogenase), IPR015878 (S-adenosyl-L-homocysteine hydrolase, NAD binding domain), IPR016040 (NAD(P)-binding domain), IPR029009 (Allosteric substrate binding domain), IPR029752 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1), IPR029753 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site) GO:0004617 (phosphoglycerate dehydrogenase activity), GO:0006564 (L-serine biosynthetic process), GO:0008152 (metabolic process), GO:0016597 (amino acid binding), GO:0016616 (oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor), GO:0051287 (NAD binding), GO:0055114 (oxidation-reduction process) (Niben101Scf01350g03009.1)",Niben101Scf01350g03009.1 [6],25,19,20,16,23,27,22,23,14,20,19,23,26,32,20,19,23,28,22,18,22,21,21,16,28,27,27,25,29,19,22,20,27,20,19,23,19,22,30,25,17,19,26,19,24,18,21,18,22,30,29,21,29,21,17,23,16,19,15,25,21,20,23,26,25,15,22,19,19,23,25,16,16
"    AT4G34200.1 *-** D-3-phosphoglycerate dehydrogenase LENGTH=603 IPR006236 (D-3-phosphoglycerate dehydrogenase), IPR015878 (S-adenosyl-L-homocysteine hydrolase, NAD binding domain), IPR016040 (NAD(P)-binding domain), IPR029009 (Allosteric substrate binding domain), IPR029752 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1), IPR029753 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site) GO:0004617 (phosphoglycerate dehydrogenase activity), GO:0006564 (L-serine biosynthetic process), GO:0008152 (metabolic process), GO:0016597 (amino acid binding), GO:0016616 (oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor), GO:0051287 (NAD binding), GO:0055114 (oxidation-reduction process)",Niben101Scf06896g00005.1,16,12,11,10,13,17,12,12,9,13,11,16,16,22,13,13,15,17,14,11,16,13,12,12,16,18,18,15,17,9,14,10,16,15,12,12,13,15,18,19,12,12,17,13,13,11,14,11,15,18,19,14,16,13,11,16,12,13,11,14,14,12,14,17,17,11,14,13,12,12,16,9,10
"    AT4G34200.1 **** D-3-phosphoglycerate dehydrogenase LENGTH=603 IPR006236 (D-3-phosphoglycerate dehydrogenase), IPR015878 (S-adenosyl-L-homocysteine hydrolase, NAD binding domain), IPR016040 (NAD(P)-binding domain), IPR029009 (Allosteric substrate binding domain), IPR029752 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1), IPR029753 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site) GO:0004617 (phosphoglycerate dehydrogenase activity), GO:0006564 (L-serine biosynthetic process), GO:0008152 (metabolic process), GO:0016597 (amino acid binding), GO:0016616 (oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor), GO:0051287 (NAD binding), GO:0055114 (oxidation-reduction process)",Niben101Scf01350g03009.1,16,12,11,10,13,17,12,12,9,13,11,16,16,22,13,13,15,17,14,11,16,13,12,12,16,18,18,15,17,9,14,10,16,15,12,12,13,15,18,19,12,12,17,13,13,11,14,11,15,18,19,14,16,13,11,16,12,13,11,14,14,12,14,17,17,11,14,13,12,12,16,9,10
"    AT4G34200.1 **** D-3-phosphoglycerate dehydrogenase LENGTH=603 IPR006236 (D-3-phosphoglycerate dehydrogenase), IPR015878 (S-adenosyl-L-homocysteine hydrolase, NAD binding domain), IPR016040 (NAD(P)-binding domain), IPR029009 (Allosteric substrate binding domain), IPR029752 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1), IPR029753 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site) GO:0004617 (phosphoglycerate dehydrogenase activity), GO:0006564 (L-serine biosynthetic process), GO:0008152 (metabolic process), GO:0016597 (amino acid binding), GO:0016616 (oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor), GO:0051287 (NAD binding), GO:0055114 (oxidation-reduction process)",Niben101Scf23078g00006.1,2,1,,,2,1,1,2,1,2,0,1,2,,2,1,,3,1,0,1,2,1,3,0,,,3,1,3,0,0,2,2,,1,0,2,3,1,3,2,2,,,0,,0,1,3,3,2,2,0,1,1,2,1,0,2,0,1,,2,2,,2,2,3,1,3,1,3
"    AT4G34200.1 **** D-3-phosphoglycerate dehydrogenase LENGTH=603 IPR006236 (D-3-phosphoglycerate dehydrogenase), IPR015878 (S-adenosyl-L-homocysteine hydrolase, NAD binding domain), IPR016040 (NAD(P)-binding domain), IPR029009 (Allosteric substrate binding domain), IPR029752 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1), IPR029753 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site) GO:0004617 (phosphoglycerate dehydrogenase activity), GO:0006564 (L-serine biosynthetic process), GO:0008152 (metabolic process), GO:0016597 (amino acid binding), GO:0016616 (oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor), GO:0051287 (NAD binding), GO:0055114 (oxidation-reduction process)",Niben101Scf09379g01002.1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,
"    AT1G17745.2 **** D-3-phosphoglycerate dehydrogenase LENGTH=651 IPR006236 (D-3-phosphoglycerate dehydrogenase), IPR015878 (S-adenosyl-L-homocysteine hydrolase, NAD binding domain), IPR016040 (NAD(P)-binding domain), IPR029009 (Allosteric substrate binding domain), IPR029752 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1), IPR029753 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site) GO:0004617 (phosphoglycerate dehydrogenase activity), GO:0006564 (L-serine biosynthetic process), GO:0008152 (metabolic process), GO:0016597 (amino acid binding), GO:0016616 (oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor), GO:0051287 (NAD binding), GO:0055114 (oxidation-reduction process)",Niben101Scf00234g00001.1,9,7,9,6,10,10,10,11,5,7,8,7,10,11,7,6,8,11,8,7,6,8,9,4,12,9,9,10,12,10,8,10,11,5,7,11,6,7,12,6,5,7,9,6,11,7,7,7,7,12,10,7,13,8,6,7,4,6,4,11,7,8,9,9,8,4,8,6,7,11,9,7,6
"    AT1G17745.2 **** D-3-phosphoglycerate dehydrogenase LENGTH=651 IPR006236 (D-3-phosphoglycerate dehydrogenase), IPR015878 (S-adenosyl-L-homocysteine hydrolase, NAD binding domain), IPR016040 (NAD(P)-binding domain), IPR029009 (Allosteric substrate binding domain), IPR029752 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site 1), IPR029753 (D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site) GO:0004617 (phosphoglycerate dehydrogenase activity), GO:0006564 (L-serine biosynthetic process), GO:0008152 (metabolic process), GO:0016597 (amino acid binding), GO:0016616 (oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor), GO:0051287 (NAD binding), GO:0055114 (oxidation-reduction process)",Niben101Scf07741g01026.1,,7,9,,,10,10,11,,,8,,,11,7,,,11,8,,,,,,12,9,9,10,12,,,10,11,,,11,,7,12,,,,,,11,,,,,,10,,13,8,,,,,,,7,,9,,8,,8,,,11,9,7,
"Cluster of AT4G32520.1 **** serine hydroxymethyltransferase 3 LENGTH=529 IPR001085 (Serine hydroxymethyltransferase), IPR015424 (Pyridoxal phosphate-dependent transferase) GO:0003824 (catalytic activity), GO:0004372 (glycine hydroxymethyltransferase activity), GO:0006544 (glycine metabolic process), GO:0006563 (L-serine metabolic process), GO:0030170 (pyridoxal phosphate binding) (Niben101Scf04539g01016.1)",Niben101Scf04539g01016.1 [2],3,2,3,5,2,4,4,0,5,2,4,5,3,3,3,1,1,6,4,3,2,2,3,0,3,7,7,1,3,2,3,5,6,2,1,1,2,5,9,2,,1,2,5,4,3,3,2,1,1,2,1,3,5,0,4,,1,3,2,4,1,5,1,1,4,1,0,,1,2,1,1
"    AT4G32520.1 **** serine hydroxymethyltransferase 3 LENGTH=529 IPR001085 (Serine hydroxymethyltransferase), IPR015424 (Pyridoxal phosphate-dependent transferase) GO:0003824 (catalytic activity), GO:0004372 (glycine hydroxymethyltransferase activity), GO:0006544 (glycine metabolic process), GO:0006563 (L-serine metabolic process), GO:0030170 (pyridoxal phosphate binding)",Niben101Scf04539g01016.1,3,2,3,5,2,4,4,0,5,2,4,5,3,3,3,1,1,6,4,3,2,2,3,0,3,7,7,1,3,2,3,5,6,2,1,1,2,5,9,2,,1,2,5,4,3,3,2,1,1,2,1,3,5,0,4,,1,3,2,4,1,5,1,1,4,1,0,,1,2,1,1
"    AT4G32520.1 **** serine hydroxymethyltransferase 3 LENGTH=529 IPR001085 (Serine hydroxymethyltransferase), IPR015424 (Pyridoxal phosphate-dependent transferase) GO:0003824 (catalytic activity), GO:0004372 (glycine hydroxymethyltransferase activity), GO:0006544 (glycine metabolic process), GO:0006563 (L-serine metabolic process), GO:0030170 (pyridoxal phosphate binding)",Niben101Scf07116g00002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster of AT4G31990.3 ***- aspartate aminotransferase 5 LENGTH=462 IPR000796 (Aspartate/other aminotransferase), IPR015424 (Pyridoxal phosphate-dependent transferase) GO:0003824 (catalytic activity), GO:0006520 (cellular amino acid metabolic process), GO:0008483 (transaminase activity), GO:0009058 (biosynthetic process), GO:0030170 (pyridoxal phosphate binding) (Niben101Scf04437g00011.1)",Niben101Scf04437g00011.1 [2],4,3,3,4,5,5,5,4,4,6,8,5,6,4,3,3,4,4,9,2,2,5,2,2,4,8,8,10,8,8,5,4,7,4,3,4,4,2,3,2,3,2,5,6,4,0,3,2,6,8,7,4,7,3,2,7,2,3,4,6,4,3,5,5,6,5,2,3,3,5,5,5,1
"    AT4G31990.3 ***- aspartate aminotransferase 5 LENGTH=462 IPR000796 (Aspartate/other aminotransferase), IPR015424 (Pyridoxal phosphate-dependent transferase) GO:0003824 (catalytic activity), GO:0006520 (cellular amino acid metabolic process), GO:0008483 (transaminase activity), GO:0009058 (biosynthetic process), GO:0030170 (pyridoxal phosphate binding)",Niben101Scf04437g00011.1,4,3,3,4,5,5,5,4,4,6,8,5,6,4,3,3,4,4,9,2,2,5,2,2,4,8,8,10,8,8,5,4,7,4,3,4,4,2,3,2,3,2,5,6,4,0,3,2,6,8,7,4,7,3,2,7,2,3,4,6,4,3,5,5,6,5,2,3,3,5,5,5,1
"    AT4G31990.3 ***- aspartate aminotransferase 5 LENGTH=462 IPR000796 (Aspartate/other aminotransferase), IPR015424 (Pyridoxal phosphate-dependent transferase) GO:0003824 (catalytic activity), GO:0006520 (cellular amino acid metabolic process), GO:0008483 (transaminase activity), GO:0009058 (biosynthetic process), GO:0030170 (pyridoxal phosphate binding)",Niben101Scf07926g05011.1,,,1,3,,,,2,2,3,4,3,4,2,,,2,1,4,1,,,,,,4,4,7,5,5,2,3,4,,,,,,,,,,,,4,,,1,3,,3,,4,,,,,,,4,2,,4,,,,,,,4,4,2,
